"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Make_movie.py", "Python", 160, 0, 24, 47, 231
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Testing_ideas.py", "Python", 9, 0, 2, 4, 15
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Tkinter_sim.py", "Python", 112, 0, 2, 15, 129
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Two_D_constants.py", "Python", 234, 0, 36, 47, 317
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Two_D_functions.py", "Python", 955, 0, 134, 270, 1359
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Two_D_simulation_function.py", "Python", 444, 0, 8, 75, 527
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\import_matlab_data.py", "Python", 295, 0, 18, 63, 376
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\iterative_surface_sim.py", "Python", 105, 0, 6, 17, 128
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\multi_surface_sim.py", "Python", 199, 0, 2, 45, 246
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\requirements.txt", "pip requirements", 0, 17, 0, 1, 18
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\surface_sim.py", "Python", 240, 0, 13, 45, 298
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\testing_functions.py", "Python", 1309, 0, 120, 315, 1744
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\two_d_continues_integration.py", "Python", 109, 0, 12, 25, 146
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\two_d_data_processing.py", "Python", 299, 0, 28, 76, 403
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\two_d_plot_data.py", "Python", 1819, 0, 195, 312, 2326
"Total", "-", 6289, 17, 600, 1357, 8263
