"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\Make_movie.py", "Python", -138, 0, -16, -44, -198
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_Constants.py", "Python", -63, 0, -12, -16, -91
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_Functions.py", "Python", -120, 0, -6, -54, -180
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_Simulation.py", "Python", -135, 0, -3, -37, -175
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_sim_function.py", "Python", -59, 0, -8, -13, -80
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\data_processing.py", "Python", -127, 0, -8, -43, -178
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\plot_data.py", "Python", -324, 0, -71, -59, -454
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\plotting_functions.py", "Python", -90, 0, -3, -29, -122
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\requirements.txt", "pip requirements", 0, -16, 0, -1, -17
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Make_movie.py", "Python", 160, 0, 24, 47, 231
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Testing_ideas.py", "Python", 9, 0, 2, 4, 15
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Two_D_constants.py", "Python", 234, 0, 36, 45, 315
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Two_D_functions.py", "Python", 955, 0, 134, 270, 1359
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\Two_D_simulation_function.py", "Python", 444, 0, 8, 75, 527
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\import_matlab_data.py", "Python", 295, 0, 18, 63, 376
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\iterative_surface_sim.py", "Python", 105, 0, 6, 17, 128
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\multi_surface_sim.py", "Python", 201, 0, 2, 45, 248
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\requirements.txt", "pip requirements", 0, 18, 0, 1, 19
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\surface_sim.py", "Python", 240, 0, 13, 45, 298
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\testing_functions.py", "Python", 1309, 0, 120, 315, 1744
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\two_d_continues_integration.py", "Python", 109, 0, 12, 25, 146
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\two_d_data_processing.py", "Python", 299, 0, 28, 76, 403
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\Surface model\two_d_plot_data.py", "Python", 1819, 0, 195, 312, 2326
"Total", "-", 5123, 2, 471, 1044, 6640
